x = 0.125	y = 0.942809	f = 0.942809
x = 0.13	y = 0.940721	f = 0.940721
x = 0.135	y = 0.938647	f = 0.938647
x = 0.14	y = 0.936586	f = 0.936586
x = 0.145	y = 0.934539	f = 0.934539
x = 0.15	y = 0.932505	f = 0.932505
x = 0.155	y = 0.930484	f = 0.930484
x = 0.16	y = 0.928477	f = 0.928477
x = 0.165	y = 0.926482	f = 0.926482
x = 0.17	y = 0.9245	f = 0.9245
x = 0.175	y = 0.922531	f = 0.922531
x = 0.18	y = 0.920575	f = 0.920575
x = 0.185	y = 0.91863	f = 0.91863
x = 0.19	y = 0.916698	f = 0.916698
x = 0.195	y = 0.914779	f = 0.914779
x = 0.2	y = 0.912871	f = 0.912871
x = 0.205	y = 0.910975	f = 0.910975
x = 0.21	y = 0.909091	f = 0.909091
x = 0.215	y = 0.907218	f = 0.907218
x = 0.22	y = 0.905357	f = 0.905357
x = 0.225	y = 0.903508	f = 0.903508
x = 0.23	y = 0.90167	f = 0.90167
x = 0.235	y = 0.899843	f = 0.899843
x = 0.24	y = 0.898027	f = 0.898027
x = 0.245	y = 0.896221	f = 0.896221
x = 0.25	y = 0.894427	f = 0.894427
